gene_name	number_of_transposon_per_gene	number_of_read_pergene
ARA1 	65 	1728 	
TBS1 	91 	1978 	
APD1 	43 	409 	
SPP381 	30 	420 	
RIB7 	13 	300 	
RPB5 	13 	101 	
CNS1 	29 	259 	
SLI15 	99 	1783 	
ICS2 	29 	400 	
AMN1 	64 	1240 	
IFA38 	32 	237 	
CDC28 	34 	302 	
CSH1 	92 	3050 	
TOS1 	44 	375 	
YSY6 	1 	0 	
EXO5 	78 	3667 	
ARL1 	19 	289 	
UBS1 	41 	329 	
TYR1 	74 	1978 	
POP7 	41 	1115 	
PEX32 	99 	2844 	
SSE2 	84 	1492 	
NPL4 	56 	1025 	
SEC66 	23 	343 	
SMY2 	133 	4303 	
UMP1 	20 	369 	
YBR174C 	7 	74 	
SWD3 	24 	439 	
ECM31 	29 	588 	
EHT1 	32 	498 	
YBR178W 	25 	422 	
FZO1 	67 	1261 	
DTR1 	48 	933 	
RPS6B 	23 	234 	
SMP1 	41 	550 	
YBR182C-A 	11 	80 	
YPC1 	40 	639 	
YBR184W 	65 	1575 	
MBA1 	34 	452 	
PCH2 	129 	4391 	
GDT1 	32 	449 	
NTC20 	22 	515 	
RPS9B 	14 	125 	
YBR190W 	30 	1130 	
RPL21A 	46 	777 	
YBR191W-A 	1 	0 	
RIM2 	12 	177 	
MED8 	38 	1286 	
AIM4 	41 	795 	
MSI1 	110 	2808 	
PGI1 	80 	1558 	
YBR196C-A 	4 	19 	
YBR196C-B 	2 	5 	
YBR197C 	14 	254 	
TAF5 	86 	1214 	
KTR4 	52 	593 	
BEM1 	105 	1950 	
YBR200W-A 	12 	392 	
DER1 	27 	391 	
YBR201C-A 	3 	5 	
MCM7 	55 	1088 	
COS111 	62 	743 	
LDH1 	18 	315 	
KTR3 	12 	191 	
YBR206W 	7 	82 	
FTH1 	100 	2096 	
DUR1
YBR209W 	5 	91 	
ERV15 	41 	909 	
AME1 	17 	138 	
NGR1 	128 	3296 	
MET8 	33 	562 	
SDS24 	30 	191 	
HPC2 	77 	1835 	
YBP1 	89 	711 	
ATG12 	16 	139 	
PYC2 	153 	2332 	
YBR219C 	14 	333 	
YBR220C 	44 	935 	
PDB1 	33 	727 	
YBR221W-A 	1 	0 	
PCS60 	28 	245 	
TDP1 	13 	82 	
YBR223W-A 	0 	0 	
YBR224W 	10 	159 	
YBR225W 	71 	975 	
YBR226C 	13 	173 	
MCX1 	46 	934 	
SLX1 	12 	52 	
ROT2 	87 	1576 	
OM14 	33 	479 	
YBR230W-A 	4 	29 	
SWC5 	59 	1258 	
YBR232C 	21 	165 	
PBP2 	35 	337 	
DAD3 	6 	11 	
ARC40 	21 	360 	
VHC1 	54 	1198 	
ABD1 	41 	834 	
PRP5 	60 	873 	
YBR238C 	110 	1697 	
ERT1 	51 	804 	
THI2 	13 	237 	
YBR241C 	37 	689 	
YBR242W 	26 	521 	
ALG7 	43 	759 	
GPX2 	40 	592 	
ISW1 	101 	1450 	
RRT2 	0 	0 	
ENP1 	24 	781 	
HIS7 	35 	431 	
ARO4 	30 	393 	
SPO23 	32 	381 	
MRPS5 	25 	467 	
DUT1 	1 	0 	
SRB6 	12 	99 	
TRS20 	11 	61 	
MTC4 	52 	653 	
YBR255C-A 	4 	34 	
RIB5 	8 	71 	
POP4 	13 	127 	
SHG1 	8 	53 	
YBR259W 	82 	2054 	
RGD1 	48 	945 	
TAE1 	18 	193 	
MIC12 	20 	426 	
SHM1 	4 	11 	
YPT10 	0 	0 	
TSC10 	4 	8 	
REI1 	1 	0 	
SLM6 	1 	0 	
MRPL37 	0 	0 	
FMP21 	21 	193 	
BIT2 	81 	1906 	
EFM2 	44 	927 	
HSM3 	44 	1191 	
UBX7 	15 	149 	
CHK1 	10 	80 	
RIF1 	72 	883 	
PPS1 	40 	553 	
YBR277C 	13 	135 	
DPB3 	14 	135 	
PAF1 	21 	604 	
SAF1 	63 	1200 	
DUG2 	86 	1768 	
MRPL27 	16 	514 	
SSH1 	37 	240 	
YBR284W 	54 	1030 	
YBR285W 	6 	32 	
APE3 	62 	1067 	
YBR287W 	26 	683 	
APM3 	22 	304 	
SNF5 	38 	464 	
BSD2 	18 	410 	
CTP1 	17 	312 	
YBR292C 	18 	145 	
VBA2 	39 	715 	
SUL1 	63 	892 	
PCA1 	103 	1965 	
PHO89 	39 	599 	
YBR296C-A 	0 	0 	
MAL33 	37 	461 	
MAL31 	46 	783 	
YBR298C-A 	4 	62 	
MAL32 	46 	848 	
YBR300C 	11 	91 	
PAU24 	4 	12 	
COS2 	17 	113 	
YCL076W 	34 	505 	
GEX1 	66 	931 	
VBA3 	83 	1655 	
YCL068C 	24 	320 	
HMLALPHA2 	15 	86 	
HMLALPHA1 	5 	41 	
YCL065W 	14 	236 	
CHA1 	26 	408 	
VAC17 	46 	725 	
MRC1 	144 	2920 	
KRR1 	37 	586 	
FYV5 	23 	489 	
ADF1 	15 	372 	
MIC10 	28 	322 	
PRD1 	133 	2073 	
PEX34 	25 	379 	
KAR4 	43 	768 	
SPB1 	236 	6775 	
PBN1 	125 	3227 	
LRE1 	100 	2777 	
APA1 	46 	1391 	
YCL049C 	57 	1733 	
YCL048W-A 	11 	116 	
SPS22 	69 	1764 	
POF1 	45 	1298 	
EMC1 	201 	7430 	
YCL046W 	11 	285 	
MGR1 	45 	1221 	
PDI1 	56 	1758 	
YCL041C 	15 	518 	
YCL042W 	9 	137 	
GLK1 	61 	916 	
GID7 	164 	2861 	
ATG22 	15 	117 	
SRO9 	120 	4646 	
GFD2 	33 	429 	
GRX1 	20 	862 	
LSB5 	113 	4250 	
MXR2 	5 	55 	
STE50 	9 	97 	
RRP7 	27 	342 	
HIS4 	130 	3084 	
BIK1 	316 	9910 	
RNQ1 	190 	8051 	
FUS1 	28 	241 	
HBN1 	60 	1065 	
FRM2 	42 	466 	
AGP1 	57 	1150 	
YCL023C 	3 	5 	
KCC4 	208 	7136 	
YCL022C 	53 	1363 	
YCL021W-A 	33 	1082 	
LEU2 	66 	1694 	
NFS1 	100 	3874 	
DCC1 	72 	1417 	
BUD3 	124 	2596 	
YCL012C 	33 	602 	
GBP2 	22 	175 	
SGF29 	12 	165 	
ILV6 	15 	68 	
STP22 	98 	2482 	
YCL007C 	20 	331 	
VMA9 	21 	375 	
LDB16 	73 	2063 	
PGS1 	126 	4341 	
YCL002C 	35 	731 	
RER1 	17 	443 	
YCL001W-A 	62 	2626 	
YCL001W-B 	23 	752 	
YCR001W 	14 	233 	
CDC10 	26 	500 	
MRPL32 	34 	701 	
YCP4 	50 	874 	
CIT2 	61 	2131 	
YCR006C 	15 	142 	
YCR007C 	4 	4 	
SAT4 	143 	3895 	
RVS161 	19 	235 	
ADY2 	49 	713 	
ADP1 	201 	4496 	
PGK1 	207 	12224 	
YCR013C 	149 	9304 	
POL4 	260 	6890 	
YCR015C 	276 	9677 	
YCR016W 	110 	2981 	
CWH43 	335 	17013 	
SRD1 	8 	124 	
YCR018C-A 	26 	533 	
MAK32 	224 	7676 	
PET18 	150 	7198 	
MAK31 	95 	2765 	
HTL1 	25 	1200 	
HSP30 	83 	2362 	
YCR022C 	4 	3 	
YCR023C 	262 	10354 	
SLM5 	178 	839 	
YCR024C-B 	69 	388 	
PMP1 	18 	79 	
YCR025C 	74 	353 	
NPP1 	808 	7025 	
RHB1 	45 	687 	
FEN2 	118 	4706 	
RIM1 	9 	62 	
SYP1 	162 	6139 	
RPS14A 	142 	5147 	
BPH1 	749 	28269 	
SNT1 	411 	12501 	
ELO2 	152 	5311 	
RRP43 	166 	4023 	
RBK1 	45 	840 	
PHO87 	180 	4620 	
BUD5 	170 	6765 	
YCR038W-A 	7 	21 	
MATALPHA2 	41 	511 	
MATALPHA1 	73 	1606 	
YCR041W 	11 	184 	
TAF2 	203 	5069 	
YCR043C 	24 	216 	
PER1 	65 	1668 	
RRT12 	65 	1444 	
YCR045W-A 	11 	126 	
IMG1 	39 	562 	
BUD23 	59 	711 	
YCR047W-A 	9 	29 	
YCR049C 	10 	40 	
ARE1 	104 	1777 	
YCR050C 	14 	125 	
YCR051W 	37 	232 	
RSC6 	84 	1594 	
THR4 	95 	1717 	
CTR86 	89 	2159 	
PWP2 	91 	1319 	
YIH1 	50 	812 	
TAH1 	12 	119 	
YCR061W 	73 	1222 	
YCR064C 	10 	60 	
BUD31 	3 	10 	
HCM1 	97 	970 	
RAD18 	65 	297 	
SED4 	490 	5581 	
ATG15 	53 	543 	
CPR4 	53 	221 	
IMG2 	18 	262 	
RSA4 	57 	1299 	
SSK22 	101 	1736 	
SOL2 	10 	52 	
ERS1 	43 	653 	
YCR075W-A 	10 	320 	
FUB1 	43 	1303 	
PAT1 	97 	2950 	
PTC6 	44 	1350 	
SRB8 	137 	3116 	
YCR081C-A 	26 	632 	
AHC2 	64 	2412 	
TRX3 	36 	484 	
TUP1 	301 	2261 	
YCR085W 	19 	148 	
CSM1 	50 	289 	
YCR087W 	33 	75 	
YCR087C-A 	31 	70 	
ABP1 	188 	1766 	
FIG2 	110 	2115 	
YCR090C 	4 	6 	
KIN82 	62 	973 	
MSH3 	117 	2675 	
CDC39 	184 	4198 	
CDC50 	9 	34 	
OCA4 	17 	324 	
YCR095W-A 	8 	69 	
HMRA2 	8 	78 	
HMRA1 	13 	77 	
YCR097W-A 	2 	6 	
GIT1 	37 	798 	
YCR099C 	24 	496 	
YCR100C 	42 	883 	
YCR101C 	14 	170 	
YCR102C 	50 	1059 	
