Gene_name	Essentiality	Sum_reads_truncated	Reads_10%_truncated																																																																																																																																																																																																																																																											
YNL028W	0	149	6	140	1	1	1	1	27																																																																																																																																																																																																																																																					
CRZ1	0	27	5	1	2	11	8	1	1	3	36	56	1	1	11	1	2	1	43	55	11	1																																																																																																																																																																																																																																								
SAM50	1	0																																																																																																																																																																																																																																																												
SSN8	0	1	1																																																																																																																																																																																																																																																											
KSH1	1	0																																																																																																																																																																																																																																																												
EFM6	0	103	69	5	1	10	18	5	1	1	1																																																																																																																																																																																																																																																			
FAP1	0	24	3	3	16	1	1	15	14	1	5	2	1	1	38	5	1	1	4	59	1																																																																																																																																																																																																																																									
RCM1	0	53	3	2	1	14	33	29																																																																																																																																																																																																																																																						
HDA1	0	318	290	1	3	20	4	3	5	1	6	1	1	1	2	1	1	38	2	4	21	2	3	32	23	18	1	10	7																																																																																																																																																																																																																																	
ARK1	1	102	39	1	50	8	4	2	2	99	70	17	16	6	4	7	72	25	26	1	44	55	14	9																																																																																																																																																																																																																																						
YNL019C	0	115	3	62	39	10	1	1	7	9	2	2	1	1	1	4	8	6	24	47	9	20	1	10	57	4	82	29	37	76	76	37	8	1	27	8	8	8	1	69	9	23	3	2																																																																																																																																																																																																																		
YNL018C	0	44	2	12	4	21	5	7	7	35	1	1	3	31	19	11	3	4	44	12	70	2	2	1	65	43	16	4	38	3	1	19	2	1	13	11	21																																																																																																																																																																																																																									
YNL017C	0	209	8	101	23	35	42	13	4	13	1	200	123	8	15	75	3	4	4	1	3	1	9																																																																																																																																																																																																																																							
PUB1	0	116	6	4	39	51	16	4	29	6	23	64	7	1	2	41	1	7	13	22	32																																																																																																																																																																																																																																									
PBI2	0	0																																																																																																																																																																																																																																																												
HEF3	0	124	1	58	5	24	36	4	9	1	1	11	56	6	5	12	3	1	6	28	14	1	61	13	1	6	1	10	4	81	1	43	2	1	26																																																																																																																																																																																																																											
YNL013C	0	114	4	61	16	26	7	20	1	1	20	3	11	4	6	8																																																																																																																																																																																																																																														
SPO1	0	68	1	1	7	58	1	18	1	1	13	77	1	10	36	1	3	50	1	12	2	20	7	56	1	3	2	27	37	30	26	30	1	44	7	13	1	3	2	4	1	41	21	19	30	56	13	101	63	87	22	27	1	1	60	1	1	6	2	1	3	6																																																																																																																																																																																																
YNL011C	0	114	93	1	18	1	1	2	47	23	1	2	4	8	1	1	41	45	1	1	11	90	28	4	34																																																																																																																																																																																																																																					
YNL010W	0	170	49	24	79	2	16	17	85	56	534	3	3	14	35	16	278	2	23	1	334	28	1	6	2	4																																																																																																																																																																																																																																				
IDP3	0	213	10	10	1	96	96	18	10	209	1	1	3	103	1	1	19	1	21	9	9	30	3	2	1	12	1	6	3	13	8	14	10	3	1	1	1	2	1	1	1	35	18	131	8	147	1	8	69	13	22	2	1	1	9	2	1																																																																																																																																																																																																					
ASI3	0	159	4	1	143	10	1	1	53	3	34	195	41	74	117	40	6	2	3	28	2	22	34	5	2	1	37	18	6	9	1	55	1	1	32	7	1	1	1	12	37	12	6	113	15	4	167	3	3	35	11	2	18	12	4	10	1	15	1	1	2	3	26	4	6	83	3	53	1	118	16	19	2	4	8	46	1	89	4	69																																																																																																																																																																														
SIS1	1	0																																																																																																																																																																																																																																																												
LST8	1	0																																																																																																																																																																																																																																																												
MRP7	0	86	40	28	5	11	2	103	41	39	16	1	1	75	1	1	26	1	4	5	24	3	35	7	1	10	2	5	1	1	4	1																																																																																																																																																																																																																														
HRB1	0	572	2	172	216	17	165	18	3	2	1	7	52	1	230	1	2	3	3	127	123	105	27	79	107	33	2	5	2	97	18	1	16	1	1	557	1	1	1	2	1	1	10	1	67	123	117	146	670	95	3	2	56	1	1	2	2	3	3	1	33	1	7	155	155	12	19	78	78	4	4	13	1	13	7	2	75	1	1	4	1	4	2	2	1	3	1	5	2	65	130	1	2	1	51	1	142	101	1	2	35	173	202	13	106	72	2	126	654	15	92	9	95	95	2	2	126	126	1	1	1	157	13	105	59	177	4	4	2	49	17	17	48	9	90	65																																																																																																																						
PET8	0	63	28	27	1	3	4	1	52	4	243	76	54	17	5	43	3	12	55	1	33	3	6	15	2	40	115																																																																																																																																																																																																																																			
RLP7	1	0																																																																																																																																																																																																																																																												
DOM34	0	100	30	2	12	1	55	15	17	1	111	12	1	21	44	41	25	1	1	18	2	2	18	1	165	1	50	62	4	2	6	1	1	1	27	26	4	2	64	3	20	2	48	2	99	43	2	4	164	17	1																																																																																																																																																																																																											
CIT1	0	110	3	83	20	1	3	1	1	108	5	2	1	1	1	10	2	4	139	77	10	4	4	82	57	170	282	108	19	256	32	224	56	12	5	30	2	5	12	38	320	72	19	1	1	166	1	2	2	58	3	7																																																																																																																																																																																																										
YNR001W-A	0	9	1	4	2	1	1	8	40	5	1	8	1	4	1	1	4	1	1																																																																																																																																																																																																																																											
ATO2	0	81	1	2	3	14	61	1	31	8	12	6	1	2	118	5	1	1	1	1	2	37	1	34	5	3	82	1	23	1	1	1	154	9	2	1	23	3	157	8	4	18	69	47	122	23	371	26	1	178	1	625	3	94	3	53	53	131	317	1	73	1	1	3	408	1	70	293	1	169	101	41	41	4	4	9	9	519	1	136	136	87	43	1	1	43	20	51	51	90	2	67	2	2	266	24	1	95	2																																																																																																																																																											
RPC34	1	0																																																																																																																																																																																																																																																												
YNR003W-A	0	0																																																																																																																																																																																																																																																												
SWM2	0	365	40	1	216	104	4	55	1	1	33	19	4	7	1	66	1																																																																																																																																																																																																																																													
YNR005C	0	16	12	3	1																																																																																																																																																																																																																																																									
VPS27	0	19	8	1	7	2	1	1																																																																																																																																																																																																																																																						
ATG3	0	22	13	1	1	5	2	1	36	9																																																																																																																																																																																																																																																				
LRO1	0	69	1	1	24	37	6	1	2	1	49	4	45	110	1	15	24	73	2	1	13	43	67	102	14	1	59	13	2	3	2																																																																																																																																																																																																																															
NRM1	0	102	1	31	61	4	5	1	4	3																																																																																																																																																																																																																																																				
CSE2	0	65	1	3	2	1	58	5	2	4	1	1	17	17	44	1																																																																																																																																																																																																																																														
PRP2	1	96	1	1	7	15	72	16	26																																																																																																																																																																																																																																																					
URK1	0	59	32	2	15	2	8	3	102	4	1	20	35	4	1	1	4	4	33	32	2	28	13	13	1	6	1																																																																																																																																																																																																																																			
PHO91	0	271	1	2	196	1	71	34	169	1	1	1	17	50	64	2	4	114	134	93	2	1	8	5	7	1	1	205	29																																																																																																																																																																																																																																	
YNR014W	0	194	3	51	15	34	91																																																																																																																																																																																																																																																							
SMM1	0	173	34	121	11	6	1	39	2	102	35	1	407	14	3	10	41	19	136	124	86	9	79	35	2	46	16	8	278	1	17	56	301	20	59	418	37	1	6	29	1	26																																																																																																																																																																																																																				
ACC1	1	2	2																																																																																																																																																																																																																																																											
TIM23	1	0																																																																																																																																																																																																																																																												
RCF2	0	47	5	1	7	33	1	33	9																																																																																																																																																																																																																																																					
ARE2	0	25	8	1	1	13	2	2	1	17	1	64	2	1	5	7	10	62	13	17	2																																																																																																																																																																																																																																									
ATP23	0	399	3	104	37	254	1																																																																																																																																																																																																																																																							
YNR021W	0	532	38	5	48	366	75	43	2	124	2	1	11	2	1	2																																																																																																																																																																																																																																														
MRPL50	0	51	5	20	26																																																																																																																																																																																																																																																									
SNF12	0	1	1																																																																																																																																																																																																																																																											
MPP6	0	48	21	21	1	4	1	1	2	8	11	7	2	20																																																																																																																																																																																																																																																
YNR025C	0	48	8	11	7	2	20	7	1																																																																																																																																																																																																																																																					
SEC12	1	247	1	6	10	217	13	7	32	18	14	7	13	37	11	1	1																																																																																																																																																																																																																																													
BUD17	0	41	11	1	1	1	27	69	44	3	30	37	88	40																																																																																																																																																																																																																																																
CPR8	0	78	37	1	13	25	2	63	1	1	3	2	2	1	2	5	6																																																																																																																																																																																																																																													
YNR029C	0	75	51	2	10	1	11																																																																																																																																																																																																																																																							
ALG12	0	159	11	126	1	3	18	4	26	36	8	1																																																																																																																																																																																																																																																		
SSK2	0	37	1	24	1	2	9	7	19	6	10	1	2	59	5	14	4	7	4	14																																																																																																																																																																																																																																										
PPG1	0	103	32	31	1	3	36	2	1	141																																																																																																																																																																																																																																																				
HUB1	0	69	18	51																																																																																																																																																																																																																																																										
ABZ1	0	7	3	1	1	1	1	34	1	50	1	17	26	1	43	1	3	125																																																																																																																																																																																																																																												
SOL1	0	244	11	215	1	16	1	11	1	18	1	1	1	100	25	47																																																																																																																																																																																																																																														
YNR034W-A	0	180	1	62	2	101	14	41	2	1																																																																																																																																																																																																																																																				
ARC35	1	1	1																																																																																																																																																																																																																																																											
MRPS12	0	0																																																																																																																																																																																																																																																												
RSM19	0	0																																																																																																																																																																																																																																																												
DBP6	1	0																																																																																																																																																																																																																																																												
ZRG17	0	322	138	1	181	1	1	125	46	1	74	55	2	2	1	15	2																																																																																																																																																																																																																																													
YNR040W	0	131	1	2	6	2	120	5	18	7																																																																																																																																																																																																																																																				
COQ2	0	51	26	15	1	2	7	2	1	1																																																																																																																																																																																																																																																				
YNR042W	0	23	7	2	1	1	12																																																																																																																																																																																																																																																							
MVD1	1	0																																																																																																																																																																																																																																																												
AGA1	0	69	58	3	6	1	1	24	13	24	44	9	21																																																																																																																																																																																																																																																	
PET494	0	292	15	2	38	3	234	3	1	20	4	23	4																																																																																																																																																																																																																																																	
TRM112	1	0																																																																																																																																																																																																																																																												
FPK1	0	94	44	4	8	35	3	1	1	95	12	5	23	69																																																																																																																																																																																																																																																
YNR048W	0	32	2	1	1	27	1	11	15	1	2	2	1																																																																																																																																																																																																																																																	
MSO1	0	33	2	1	1	16	13	1	1	5	32	37	73																																																																																																																																																																																																																																																	
LYS9	0	318	20	178	28	82	10	2	2																																																																																																																																																																																																																																																					
BRE5	0	73	2	1	1	48	21	29	7	46	6	2																																																																																																																																																																																																																																																		
POP2	0	0																																																																																																																																																																																																																																																												
NOG2	1	0																																																																																																																																																																																																																																																												
ESF2	1	0																																																																																																																																																																																																																																																												
HOL1	0	29	5	1	3	11	9	17	18	81	43	74	1	101	79	5	1																																																																																																																																																																																																																																													
BIO5	0	44	13	8	16	6	1	3	1	1																																																																																																																																																																																																																																																				
BIO4	0	385	26	356	1	1	1	104	251	21	3	1	2	65	132	128																																																																																																																																																																																																																																														
BIO3	0	98	4	22	8	57	7																																																																																																																																																																																																																																																							
MNT4	0	22	1	14	4	1	2	71	4	4	206	7	1	1	4	1	78	10	9	1	8	31																																																																																																																																																																																																																																								
FRE4	0	217	23	7	36	1	150	16	1	1	104	19	128	3	7	2	3	52	1	10																																																																																																																																																																																																																																										
YNR061C	0	264	133	95	1	18	17	23	10	24																																																																																																																																																																																																																																																				
YNR062C	0	2	1	1																																																																																																																																																																																																																																																										
YNR063W	0	146	4	1	2	137	2	73	79	412	12	10	1																																																																																																																																																																																																																																																	
YNR064C	0	38	26	8	1	1	2	1	15																																																																																																																																																																																																																																																					
YNR065C	0	62	1	5	20	33	3	30	1	10	2	49	9	2	45	15	9																																																																																																																																																																																																																																													
YNR066C	0	60	3	3	23	19	12	22																																																																																																																																																																																																																																																						
DSE4	0	102	27	32	13	29	1	3	1	3	73	25	58	70																																																																																																																																																																																																																																																
YNR068C	0	35	17	2	16																																																																																																																																																																																																																																																									
BSC5	0	28	2	2	1	4	19	54																																																																																																																																																																																																																																																						
PDR18	0	39	2	25	7	3	2	49	25	1	1	81	74	4																																																																																																																																																																																																																																																
YNR071C	0	98	91	2	2	1	2																																																																																																																																																																																																																																																							
HXT17	0	236	50	151	1	34																																																																																																																																																																																																																																																								
MAN2	0	41	37	1	3																																																																																																																																																																																																																																																									
AIF1	0	29	19	9	1																																																																																																																																																																																																																																																									
COS10	0	59	1	11	1	45	1	77																																																																																																																																																																																																																																																						
YNR075C-A	0	3	1	1	1																																																																																																																																																																																																																																																									
PAU6	0	16	16																																																																																																																																																																																																																																																											
YNR077C	0	41	2	22	1	15	1	12	4	3																																																																																																																																																																																																																																																				
YOL166W-A	0	0																																																																																																																																																																																																																																																												
YOL166C	0	0																																																																																																																																																																																																																																																												
AAD15	0	3	1	1	1																																																																																																																																																																																																																																																									
YOL164W-A	0	6	6																																																																																																																																																																																																																																																											
BDS1	0	66	21	2	1	1	41	39	9	10	24	63	15	1																																																																																																																																																																																																																																																
YOL163W	0	246	46	2	198																																																																																																																																																																																																																																																									
YOL162W	0	8	1	7																																																																																																																																																																																																																																																										
PAU20	0	6	6																																																																																																																																																																																																																																																											
YOL160W	0	21	15	6																																																																																																																																																																																																																																																										
YOL159C-A	0	131	46	1	30	24	30																																																																																																																																																																																																																																																							
CSS3	0	51	4	44	3																																																																																																																																																																																																																																																									
ENB1	0	196	3	42	66	19	66	3	40	11	1	9	15	40	1	13																																																																																																																																																																																																																																														
IMA2	0	96	4	43	42	2	5	170	9	2	232	121																																																																																																																																																																																																																																																		
HXT11	0	35	6	17	1	6	5	1	1	1	3	4	2	9	3	6	3	1	28	1	1																																																																																																																																																																																																																																									
YOL155W-A	0	0																																																																																																																																																																																																																																																												
HPF1	0	39	5	2	30	1	1																																																																																																																																																																																																																																																							
ZPS1	0	0																																																																																																																																																																																																																																																												
FRE7	0	434	2	8	9	307	108	13	10																																																																																																																																																																																																																																																					
GRE2	0	5	5																																																																																																																																																																																																																																																											
YOL150C	0	0																																																																																																																																																																																																																																																												
DCP1	1	0																																																																																																																																																																																																																																																												
SPT20	0	62	6	54	1	1																																																																																																																																																																																																																																																								
PEX11	0	0																																																																																																																																																																																																																																																												
PSF3	1	0																																																																																																																																																																																																																																																												
CTR9	0	105	105																																																																																																																																																																																																																																																											
NOP8	1	46	1	1	40	4																																																																																																																																																																																																																																																								
RIB4	0	0																																																																																																																																																																																																																																																												
RRP40	0	0																																																																																																																																																																																																																																																												
PPM2	0	141	2	25	109	4	1	76	1																																																																																																																																																																																																																																																					
ARG8	0	492	84	248	1	151	8	13	5	2																																																																																																																																																																																																																																																				
CDC33	1	0																																																																																																																																																																																																																																																												
RTC1	0	5	2	2	1																																																																																																																																																																																																																																																									
BSC6	0	427	273	89	60	1	4	10																																																																																																																																																																																																																																																						
PFK27	0	177	1	22	109	37	8	153	5																																																																																																																																																																																																																																																					
MED7	1	1	1																																																																																																																																																																																																																																																											
YOL134C	1	204	47	52	105																																																																																																																																																																																																																																																									
HRT1	1	0																																																																																																																																																																																																																																																												
GAS4	0	104	2	21	76	4	1																																																																																																																																																																																																																																																							
YOL131W	0	121	120	1																																																																																																																																																																																																																																																										
ALR1	1	79	1	67	10	1																																																																																																																																																																																																																																																								
VPS68	0	9	1	1	7																																																																																																																																																																																																																																																									
YGK3	0	22	2	1	2	2	15	3	2	1	35	4	1																																																																																																																																																																																																																																																	
RPL25	1	0																																																																																																																																																																																																																																																												
MDH2	0	7	1	1	1	4																																																																																																																																																																																																																																																								
TRM13	0	179	48	111	5	12	3	2	1																																																																																																																																																																																																																																																					
TRM11	0	102	7	12	24	58	1	39																																																																																																																																																																																																																																																						
HRP1	1	7	7																																																																																																																																																																																																																																																											
SMF1	0	51	1	2	40	6	2	4	19	3	11																																																																																																																																																																																																																																																			
RPS19A	0	5	5																																																																																																																																																																																																																																																											
RPL18A	1	5	5																																																																																																																																																																																																																																																											
